department,designation,headcount,min_basic,avg_basic,max_basic
Engineering,QA Engineer,9,39000.0,66111.0,85000.0
Engineering,Senior Software Engineer,8,47000.0,61000.0,83500.0
Engineering,DevOps Engineer,14,41000.0,60000.0,88000.0
Engineering,Software Engineer,7,49500.0,59929.0,77000.0
Engineering,Engineering Manager,8,40500.0,57813.0,70000.0
Finance,Finance Manager,7,41500.0,51714.0,63000.0
Finance,Accounts Executive,5,42000.0,49700.0,57500.0
Finance,Financial Analyst,14,36000.0,48000.0,67000.0
HR,HR Executive,3,36500.0,45333.0,53000.0
HR,Talent Acquisition Specialist,4,38000.0,44625.0,51000.0
HR,HR Manager,8,32500.0,40313.0,51000.0
Marketing,Marketing Manager,5,36000.0,44600.0,51500.0
Marketing,SEO Specialist,4,33500.0,41750.0,48000.0
Marketing,Marketing Associate,4,29500.0,40625.0,49500.0
Marketing,Content Strategist,5,30500.0,40200.0,53500.0
Operations,Operations Analyst,5,31000.0,45100.0,51000.0
Operations,Operations Manager,7,29000.0,40286.0,52500.0
Operations,Operations Executive,7,29000.0,37929.0,44000.0
Sales,Senior Sales Executive,8,35500.0,48125.0,61000.0
Sales,Sales Executive,10,31500.0,45100.0,58500.0
Sales,Sales Manager,3,38500.0,41000.0,43500.0
Sales,Business Development Associate,10,29000.0,40500.0,55500.0
Support,Senior Support Associate,6,31500.0,35000.0,38000.0
Support,Support Associate,11,23500.0,34682.0,46500.0
Support,Support Team Lead,6,23000.0,30750.0,39500.0
